99.96,0.75,98.81,0.47,99.53,4844.12,1.43,0.89,1.43,0.7,1.13,0.7,82.72,0,167.43,1.65,0.07,0,0.08,0.22,66.5,5.09,691.95,3.72,3.52,0.17,0.04,0.04,0,0.01,0.03,3.68,3.51,0.16,0.01,5816156,3650990,62.77,100.61
99.96,0.42,99.14,0.17,99.83,4841.16,1.42,0.57,1.43,0.7,1.75,0.7,82.32,0,167.66,1.69,0.08,0,0.08,0.22,66,5.06,690.76,3.73,3.54,0.17,0.03,0.03,0,0.01,0.02,3.7,3.53,0.16,0.01,4516406,2820106,62.44,101.42
99.96,0.45,99.11,0.19,99.81,4843.29,1.42,0.58,1.43,0.7,1.71,0.7,82.38,0,167.65,1.69,0.07,0,0.08,0.21,65.71,5.02,690.91,3.76,3.54,0.17,0.03,0.04,0.01,0.01,0.03,3.72,3.55,0.16,0.01,4499411,2820195,62.68,102.52
99.96,0.47,99.09,0.19,99.81,4845.96,1.42,0.58,1.43,0.7,1.74,0.7,82.37,0,167.67,1.7,0.07,0,0.08,0.22,66,5.06,690.94,3.77,3.55,0.17,0.03,0.04,0.01,0.01,0.03,3.74,3.57,0.16,0.01,4593864,2799914,60.95,102.94
99.96,0.43,99.13,0.17,99.83,4844.63,1.42,0.56,1.43,0.7,1.77,0.7,82.37,0,167.66,1.7,0.07,0,0.08,0.22,66.01,5.08,690.97,3.77,3.56,0.17,0.03,0.04,0,0.01,0.03,3.73,3.56,0.16,0.01,4477320,2794241,62.41,102.08
99.96,0.4,99.16,0.16,99.84,4844.49,1.42,0.58,1.43,0.7,1.72,0.7,82.38,0,167.65,1.69,0.07,0,0.08,0.22,66,5.05,690.84,3.82,3.57,0.17,0.03,0.04,0,0.01,0.03,3.74,3.57,0.16,0.01,4309825,2770507,64.28,101.66
99.96,0.42,99.14,0.17,99.83,4848.05,1.42,0.56,1.43,0.7,1.78,0.7,82.4,0,167.67,1.69,0.07,0,0.08,0.21,65.78,5.06,690.74,3.79,3.58,0.17,0.03,0.04,0,0.01,0.03,3.74,3.58,0.16,0.01,4581552,2806600,61.26,102.39
99.96,0.41,99.15,0.17,99.83,4847.82,1.42,0.57,1.43,0.7,1.75,0.7,82.39,0,167.64,1.69,0.07,0,0.08,0.21,65.76,5.02,690.64,3.75,3.56,0.17,0.03,0.03,0,0.01,0.03,3.72,3.56,0.16,0,4721473,2840666,60.16,101.74
99.96,0.45,99.12,0.18,99.82,4849.59,1.42,0.57,1.43,0.7,1.75,0.7,82.43,0,167.65,1.69,0.07,0,0.08,0.21,65.85,5.05,690.44,3.77,3.58,0.17,0.03,0.04,0.01,0.01,0.03,3.75,3.58,0.17,0.01,4468509,2769533,61.98,101.68
99.96,0.45,99.12,0.18,99.82,4849.32,1.42,0.58,1.43,0.7,1.74,0.7,82.44,0,167.65,1.69,0.07,0,0.08,0.22,65.94,5.05,690.5,3.81,3.56,0.19,0.04,0.05,0.01,0.01,0.03,3.77,3.59,0.18,0.01,4950991,2942549,59.43,99.86
99.96,0.43,99.14,0.18,99.82,4849.39,1.42,0.59,1.43,0.7,1.69,0.7,82.48,0,167.65,1.69,0.07,0,0.08,0.21,65.59,5.04,690.78,3.76,3.55,0.17,0.03,0.04,0,0.01,0.03,3.72,3.55,0.16,0.01,4344635,2775389,63.88,101.36
99.96,0.41,99.15,0.17,99.83,4849.38,1.42,0.58,1.43,0.7,1.73,0.7,82.45,0,167.66,1.69,0.08,0,0.08,0.21,65.65,5.04,690.95,3.75,3.61,0.19,0.03,0.04,0.01,0.01,0.03,3.74,3.57,0.16,0.01,4564644,2771792,60.72,100.89
99.96,0.44,99.12,0.18,99.82,4849.59,1.42,0.57,1.43,0.7,1.77,0.7,82.44,0,167.73,1.7,0.07,0,0.08,0.21,65.68,5.06,690.82,3.78,3.58,0.17,0.03,0.04,0.01,0.01,0.03,3.75,3.58,0.16,0.01,4939850,2822225,57.13,102.25
99.96,0.42,99.14,0.17,99.83,4849.75,1.42,0.58,1.43,0.7,1.73,0.7,82.46,0,167.65,1.69,0.07,0,0.08,0.21,65.83,5.06,690.56,3.78,3.58,0.17,0.03,0.04,0.01,0.01,0.03,3.74,3.57,0.16,0.01,4349731,2746494,63.14,101.47
